,Player,Team,PLAYER_ID,PTS2,xPTS2,FG2_PCT,Shot_Making2,Points_Added2,PTS3,xPTS3,FG3_PCT,Shot_Making3,Points_Added3,PTS,xPTS,eFG,xeFG,Shot_Making,Points_Added
224,Naji Marshall,Dallas Mavericks,1630230,480.0,425.23,0.606,0.138,54.77,159.0,213.89,0.279,-0.289,-54.89,639,639.12,0.545,0.545,-0.0,-0.1
225,KJ Martin,Utah Jazz,1630231,164.0,156.39,0.672,0.062,7.61,42.0,49.72,0.326,-0.18,-7.72,206,206.11,0.624,0.625,-0.001,-0.1
226,Sam Merrill,Cleveland Cavaliers,1630241,62.0,59.99,0.633,0.041,2.01,336.0,332.09,0.366,0.013,3.91,398,392.08,0.561,0.552,0.017,5.9
227,Trevelin Queen,Orlando Magic,1630243,58.0,67.67,0.468,-0.156,-9.67,48.0,71.7,0.242,-0.359,-23.7,106,139.37,0.414,0.544,-0.261,-33.4
228,Ayo Dosunmu,Chicago Bulls,1630245,318.0,283.82,0.612,0.131,34.18,186.0,215.48,0.328,-0.156,-29.48,504,499.31,0.561,0.556,0.01,4.7
229,Vit Krejci,Atlanta Hawks,1630249,84.0,82.59,0.583,0.02,1.41,198.0,177.12,0.398,0.126,20.88,282,259.69,0.592,0.546,0.094,22.3
230,Jae'Sean Tate,Houston Rockets,1630256,98.0,108.02,0.51,-0.104,-10.02,36.0,43.48,0.316,-0.197,-7.48,134,151.5,0.5,0.565,-0.131,-17.5
231,Jeff Dowtin Jr.,Philadelphia 76ers,1630288,126.0,118.69,0.516,0.06,7.31,63.0,56.29,0.404,0.129,6.71,189,174.98,0.543,0.503,0.081,14.0
232,Brandon Williams,Dallas Mavericks,1630314,100.0,87.93,0.575,0.139,12.07,57.0,57.62,0.365,-0.012,-0.62,157,145.56,0.565,0.524,0.082,11.4
233,Lindy Waters III,Detroit Pistons,1630322,56.0,61.91,0.475,-0.1,-5.91,159.0,170.78,0.335,-0.075,-11.78,215,232.68,0.495,0.536,-0.081,-17.7
234,Jeremiah Robinson-Earl,New Orleans Pelicans,1630526,150.0,158.68,0.556,-0.064,-8.68,120.0,135.4,0.336,-0.129,-15.4,270,294.07,0.531,0.579,-0.095,-24.1
235,Brandon Boston Jr.,New Orleans Pelicans,1630527,232.0,237.63,0.485,-0.024,-5.63,147.0,147.07,0.353,-0.001,-0.07,379,384.69,0.501,0.509,-0.015,-5.7
236,Herbert Jones,New Orleans Pelicans,1630529,106.0,109.32,0.53,-0.033,-3.32,66.0,81.64,0.306,-0.217,-15.64,172,190.98,0.5,0.555,-0.11,-19.0
237,Trey Murphy III,New Orleans Pelicans,1630530,434.0,430.64,0.552,0.009,3.36,471.0,465.72,0.364,0.012,5.28,905,896.35,0.549,0.544,0.01,8.6
238,Franz Wagner,Orlando Magic,1630532,724.0,707.38,0.531,0.024,16.62,252.0,299.36,0.297,-0.167,-47.36,976,1006.74,0.506,0.522,-0.032,-30.7
239,Ziaire Williams,Brooklyn Nets,1630533,198.0,232.01,0.503,-0.173,-34.01,258.0,277.67,0.339,-0.077,-19.67,456,509.69,0.506,0.565,-0.119,-53.7
240,Ochai Agbaji,Toronto Raptors,1630534,284.0,292.73,0.602,-0.037,-8.73,252.0,237.59,0.4,0.069,14.41,536,530.33,0.601,0.595,0.013,5.7
241,Bones Hyland,Minnesota Timberwolves,1630538,28.0,32.35,0.424,-0.132,-4.35,87.0,80.47,0.382,0.086,6.53,115,112.82,0.528,0.518,0.02,2.2
242,Miles McBride,New York Knicks,1630540,188.0,204.1,0.448,-0.077,-16.1,300.0,278.92,0.365,0.077,21.08,488,483.05,0.504,0.499,0.01,4.9
243,Moses Moody,Golden State Warriors,1630541,194.0,199.45,0.536,-0.03,-5.45,303.0,285.49,0.383,0.066,17.51,497,484.93,0.558,0.545,0.027,12.1
244,Tre Mann,Charlotte Hornets,1630544,92.0,101.36,0.455,-0.093,-9.36,72.0,64.78,0.4,0.12,7.22,164,166.12,0.509,0.516,-0.013,-2.1
245,Terrence Shannon Jr.,Minnesota Timberwolves,1630545,88.0,94.19,0.53,-0.075,-6.19,33.0,35.35,0.355,-0.076,-2.35,121,129.54,0.531,0.568,-0.075,-8.5
246,Johnny Juzang,Utah Jazz,1630548,126.0,120.33,0.548,0.049,5.67,261.0,254.79,0.362,0.026,6.21,387,375.12,0.545,0.528,0.033,11.9
247,Day'Ron Sharpe,Brooklyn Nets,1630549,294.0,320.64,0.559,-0.101,-26.64,33.0,46.23,0.275,-0.331,-13.23,327,366.87,0.54,0.605,-0.132,-39.9
